Пятый проект
Pred,Posl,Dlit,Fiktiv,X,Y,Text
5,7,1,4,21,12,,0-2,::::
5,6,3,4,22,97,,0-1,::::
5,9,7,4,18,177,,0-4,::::
5,8,5,4,22,283,,0-3,::::
6,7,1,0,165,39,,1-2,::::
7,10,8,0,248,0,,2-5,::::
8,9,4,0,105,242,,3-4,::::
9,11,3,0,237,159,,4-6,::::
6,10,3,0,242,74,,1-5,::::
6,11,4,0,128,130,,1-6,::::
10,12,3,5,347,14,,5-7,::::
11,12,3,5,346,109,,6-7,::::
9,12,3,5,330,224,,4-7,::::
8,12,5,5,332,300,,3-7,::::
X,Y,№,Hint
33,164,2,Начало
194,15,7,0-2/1-2
167,132,6,0-1
186,207,9,0-4/3-4
193,323,8,0-3
299,8,10,2-5/1-5
301,145,11,4-6/1-6
457,194,3,5-7/6-7/4-7/3-7
