Четвертый проект
Pred,Posl,Dlit,Fiktiv,X,Y,Text
5,6,3,4,17,11,,A,::::
5,7,5,4,18,84,,B,::::
5,8,6,4,15,249,,C,::::
6,10,2,0,211,6,,D,::::
7,10,2,0,222,70,,E,::::
7,9,1,0,151,119,,F,::::
7,8,4,0,64,179,,K,::::
8,11,3,0,263,271,,L,::::
9,10,3,0,323,86,,M,::::
8,13,5,5,252,147,,N,::::
11,12,2,0,409,147,,P,::::
7,6,0,0,110,43,,Фиктивная,::::
8,9,0,0,273,207,,Фиктивная,::::
11,13,3,5,540,256,,Q,::::
10,12,4,0,419,17,,S,::::
12,13,2,5,536,70,,T,::::
11,13,1,5,540,164,,V,::::
X,Y,№,Hint
20,154,2,Начало
196,19,6,A/B
155,135,7,B
241,295,8,C/K
316,26,10,D/E/M
309,165,9,F/C/K
462,189,11,L
636,289,3,N/Q/T/V
534,86,12,P/S
